Id	Name	ChineseName	IndexYear	BirthYear	DeathYear	Woman
10879	Chen Jiru	陳繼儒	1617	1558	1639	No
33843	Lu Shusheng	陸樹聲	1568	1509	1605	No
34717	Wang Shizhen	王世貞	1585	1526	1590	No
34736	Wang Shiqi	王士騏	1619	0	0	No
35003	Dong Qichang	董其昌	1614	1555	1636	No
56579	Wang Wei	王微	1647	1600	1647	Yes
65899	Zhang Quan	張銓	1621	1577	1621	No
68364	Ruan E	阮鶚	1567	1509	1567	No
123984	Wang XiJue	王錫爵	1593	1534	1610	No
124005	Wang Heng	王衡	1609	1561	1609	No
124967	Ding Bin	丁賓	1602	1543	1633	No
24569	Lin Maoda	林茂達	1532	0	0	No
270804	Lin Maorong	林茂榮	1534			No
270806	Lin Maochun	林茂春	1534			No
26218	Sheng Yingqi	盛應期	1533	1474	1535	No
26220	Sheng Zhicai	盛之才	1562	0	0	No
265376	Shen Shi(Wife of Shengyingqi)	沈氏(盛應期妻)	1536			Yes
265377	Sheng Yingwang	盛應望	1535			No
28807	Zhu Xizhou	朱希周	1526	0	0	No
28808	Zhu Jinggu	朱景固	1556	0	0	No
28825	Zhang Bangqi	張邦奇	1543	1484	1544	No
28826	Zhang Shiche	張時徹	1559	1500	1577	No
29577	Chen Kan(2)	陳侃	1532	0	0	No
30374	Wang Shouren	王守仁	1528	1472	1528	No
34166	Wan Biao	萬表	1556	1498	1556	No
34534	Zhang Zheng	章拯	1538	1479	1548	No
34643	Hang Huai	杭淮	1529	0	0	No
67905	Ge Hao	葛浩	1526			No
68049	Zhai Tang	翟唐	1529			No
68070	Wan Chao	萬潮	1543	1488	1543	No
68132	Zhu Xizhou	朱希周	1532	1473	1556	No
68194	Xia Yan	夏言	1541	1482	1548	No
68210	Gu Dingchen	顧鼎臣	1532	1473	1540	No
68238	Wang Xian	王憲	1537		1537	No
68240	Jiang Yao	蔣瑤	1528	1469	1557	No
68244	Hu Zan	胡瓚	1529	1471	1529	No
68280	Wang Kuang	王爌	1554		1554	No
68287	Song Jing	宋景	1547		1547	No
68289	Tu Qiao	屠僑	1539	1480	1555	No
68292	Wen Yuan	聞淵	1539	1480	1563	No
68328	Wang Shizhong	王時中	1525	1466	1542	No
68335	Tang Long	唐龍	1534	1475	1546	No
68352	Zeng Xi	曾銑	1548		1548	No
68456	Yang Zui	楊最	1547			No
68482	Qi Zhiluan	齊之鸞	1534	1483	1534	No
125411	Yan Song	嚴嵩	1539	1480	1565	No
127325	Zhu Bao	朱豹	1533	1481	1533	No
127505	Wang Yu	汪玉	1529	1481	1529	No
127826	Li Tan	李坦	1536	1492	1536	No
127955	Li Ji	李楫	1535			No
128223	Wu Hui	吳惠	1541			No
128347	Yu Ben	余本	1529	1482	1529	No
128901	Zhou Xu	周煦	1551			No
129522	Xia Ding	夏鼎	1526			No
129727	Sun Chengen	孫承恩	1540	1481	1561	No
130018	Xu Zan	徐讃	1531	1472	1533	No
130937	Chen Huan	陳煥	1537	1478	1550	No
131001	Chen Huan	陳寰	1541			No
131191	Zhan Ruoshui	湛若水	1525	1466	1560	No
131402	Huang Zhong	黃重	1527	1468	1539	No
131495	Fei Shen	費宷	1542	1483	1548	No
131616	Fu Yao	傅鑰	1540	1482	1540	No
132156	Zhao Tingrui	趙廷瑞	1551	1492	1551	No
132342	Pan Yi	潘鎰	1551			No
132829	Liu Qian	劉乾	1527	1468	1536	No
132973	Liu Kui	劉夔	1543	1487	1543	No
133063	Lu Xun	盧勳	1562			No
133434	Dai Die	戴䲀	1565			No
133464	Wei Youben	魏有本	1542	1483	1552	No
133675	Gu Qian	顧潛	1530	1471	1534	No
133705	Gong Yongqing	龔用卿	1559	1500	1563	No
275477	Wang Shi(Wife of Zhangbangqi)	王氏(張邦奇妻)	1546			Yes
275478	Zhang Bangyan	張邦彥	1541			No
275479	Zhang Bangyan	張邦言	1545			No
275480	Zhang Bangzhen	張邦真	1545			No
275481	Zhang Bangjun	張邦俊	1545			No
275482	Zhang Bangyi	張邦翊	1545			No
275483	Zhang Bangjie	張邦傑	1545			No
275484	Zhang Bangheng	張邦亨	1545			No
275485	Zhang Banghong	張邦竑	1545			No
275486	Zhang Bangyong	張邦永	1545			No
68427	Yang Yan	楊言	1547	1488	1562	No
68443	Wei Shangchen	韋商臣	1553			No
126774	Wang Jiankui	王漸逵	1557	1498	1558	No
127606	Shen Kai	沈愷	1559			No
128088	Che Chun	車純	1539	1480	1568	No
128838	Zhou Yi	周奕	1548	1489	1556	No
129026	Hu Zongming	胡宗明	1547			No
130754	Lu Yi	陸釴	1553	1494		No
130832	Chen Shu	陳束	1559			No
131032	Chen Jin	陳覲	1589			No
131549	Hua Ai	華愛	1533	1491	1533	No
131806	Yang Maoqing	楊茂淸	1539	1480	1566	No
133285	Xue Jia	薛甲	1557	1498	1572	No
133433	Dai Ao	戴鰲	1531	1472	1559	No
133435	Dai Ji	戴鱀	1549	1490	1556	No
133485	Wei Qi	魏棨	1535			No
29574	Chen Yi	陳沂	1528	1469	1538	No
67697	Yang Rui	楊銳	1530	1471	1532	No
118809	Ma  Xianqing	馬閒卿	1531			Yes
279968	Yang Shi(Wife of Chenyi)	楊氏(陳沂妻)	1531			Yes
279969	Ma Shi(Wife of Chenyiji)	馬氏(陳沂繼妻)	1531			Yes
279970	Chen Huai	陳淮	1526			No
279971	Chen Ji	陳濟	1526			No
279972	Chen Qing	陳清	1526			No
279973	Chen Pu	陳溥	1526			No
279976	Chen Su	陳涑	1526			No
279977	Chen Han	陳漢	1530			No
279978	Chen Xun	陳浚	1530			No
279979	Chen Chun	陳淳	1530			No
279980	Chen Chao	陳潮	1530			No
29575	Chen Renxi	陳仁錫	1636	1581	1636	No
29576	Chen Yunjian	陳允堅	1610	0	0	No
30284	Hai Rui	海瑞	1573	1514	1587	No
34263	Gu Tongying	顧同應	1626	1585	1626	No
34682	Wen Zhenmeng	文震孟	1633	1574	1636	No
35127	Yang Lian	楊漣	1625	1571	1625	No
124893	Li Zhi	李贄	1586	1527	1602	No
125222	Wu Yuancui	伍袁萃	1606			No
126298	Ding Yuanfu	丁元復	1584	1525	1609	No
126759	Wang Jingchen	王敬臣	1572	1513	1595	No
128488	Qi Chenghan	祁承㸁	1624	1565	1628	No
128820	Zhou Zongjian	周宗建	1626	1582	1626	No
129770	Sun Shenxing	孫愼行	1623	1564	1635	No
129902	Xu Ruke	徐如珂	1621	1562	1626	No
131175	Feng Menglong	馮夢龍	1633	1574	1646	No
29578	Chen Longzheng	陳龍正	1645	1585	0	No
29579	Chen Yuwang	陳于王	1615	0	0	No
